freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.415e+01,8.888e+02,1.504e+02,1.063e+03
1.5,3.599e+01,5.375e+02,1.242e+02,6.977e+02
3.0,3.113e+01,6.221e+01,5.376e+01,1.471e+02
4.5,3.098e+01,5.642e+02,5.640e+01,6.516e+02
6.0,4.070e+01,2.196e+03,6.709e+01,2.304e+03
7.6,5.966e+01,3.176e+03,7.290e+01,3.308e+03
9.1,3.900e+01,4.091e+03,6.386e+01,4.194e+03
10.6,3.174e+01,5.918e+03,5.867e+01,6.008e+03
12.1,4.119e+01,8.396e+03,5.498e+01,8.492e+03
13.6,3.858e+01,1.126e+04,5.750e+01,1.136e+04
15.1,3.910e+01,1.454e+04,6.320e+01,1.465e+04
16.6,6.944e+01,1.865e+04,6.328e+01,1.879e+04
18.1,8.532e+01,2.345e+04,5.788e+01,2.359e+04
19.6,6.585e+01,2.828e+04,6.227e+01,2.841e+04
21.2,6.672e+01,3.469e+04,6.682e+01,3.482e+04
22.7,1.060e+02,4.163e+04,7.798e+01,4.181e+04
24.2,1.516e+02,5.144e+04,8.377e+01,5.167e+04
25.7,1.592e+02,6.499e+04,1.034e+02,6.525e+04
27.2,1.733e+02,8.148e+04,1.228e+02,8.178e+04
28.7,1.958e+02,1.060e+05,1.548e+02,1.064e+05
30.2,2.230e+02,1.403e+05,2.530e+02,1.408e+05
31.7,2.676e+02,1.953e+05,4.821e+02,1.961e+05
33.2,3.486e+02,2.789e+05,1.030e+03,2.803e+05
34.8,5.893e+02,4.314e+05,2.692e+03,4.346e+05
36.3,1.240e+03,7.496e+05,1.741e+04,7.683e+05
37.8,3.394e+03,1.419e+06,1.181e+05,1.540e+06
39.3,3.962e+03,1.855e+06,2.592e+05,2.118e+06
40.8,2.087e+03,1.307e+06,3.194e+05,1.628e+06
42.3,3.061e+03,8.232e+05,3.488e+05,1.175e+06
43.8,6.230e+03,7.847e+05,3.817e+05,1.173e+06
45.3,1.065e+04,1.066e+06,4.170e+05,1.493e+06
46.8,1.329e+04,1.572e+06,4.181e+05,2.004e+06
