freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.800e+02,6.504e+01,2.607e+01,1.071e+03
1.5,6.080e+02,5.685e+01,4.672e+01,7.116e+02
3.0,7.432e+01,2.772e+01,4.425e+01,1.463e+02
4.5,6.709e+02,2.823e+01,4.360e+01,7.428e+02
6.0,2.605e+03,2.776e+01,4.167e+01,2.674e+03
7.6,4.129e+03,2.755e+01,4.140e+01,4.198e+03
9.1,5.756e+03,3.161e+01,4.549e+01,5.833e+03
10.6,7.937e+03,3.326e+01,4.178e+01,8.012e+03
12.1,1.051e+04,3.515e+01,4.684e+01,1.059e+04
13.6,1.339e+04,4.194e+01,4.601e+01,1.348e+04
15.1,1.691e+04,4.710e+01,4.413e+01,1.700e+04
16.6,2.104e+04,4.442e+01,4.595e+01,2.113e+04
18.1,2.528e+04,5.287e+01,4.250e+01,2.538e+04
19.6,3.003e+04,6.602e+01,4.745e+01,3.014e+04
21.2,3.575e+04,7.381e+01,4.451e+01,3.587e+04
22.7,4.197e+04,6.877e+01,4.240e+01,4.208e+04
24.2,4.857e+04,6.379e+01,4.363e+01,4.868e+04
25.7,5.584e+04,8.943e+01,4.594e+01,5.597e+04
27.2,6.515e+04,1.040e+02,4.606e+01,6.530e+04
28.7,7.644e+04,1.107e+02,4.610e+01,7.660e+04
30.2,9.076e+04,1.354e+02,4.687e+01,9.094e+04
31.7,1.068e+05,1.639e+02,4.441e+01,1.070e+05
33.3,1.268e+05,1.948e+02,4.549e+01,1.270e+05
34.8,1.476e+05,2.028e+02,4.802e+01,1.478e+05
36.3,1.724e+05,1.819e+02,5.634e+01,1.727e+05
37.8,2.021e+05,1.441e+02,8.522e+01,2.023e+05
39.3,2.447e+05,1.214e+02,1.517e+02,2.449e+05
40.8,3.001e+05,1.418e+02,2.893e+02,3.005e+05
42.3,3.692e+05,2.276e+02,4.745e+02,3.699e+05
43.8,4.297e+05,4.425e+02,7.666e+02,4.309e+05
45.3,5.741e+05,8.531e+02,1.497e+03,5.764e+05
46.9,7.666e+05,1.807e+03,3.380e+03,7.718e+05
48.4,9.952e+05,5.353e+03,7.639e+03,1.008e+06
49.9,1.478e+06,2.168e+04,1.748e+04,1.518e+06
51.4,2.304e+06,7.098e+04,3.319e+04,2.408e+06
52.9,3.615e+06,2.037e+05,6.955e+04,3.888e+06
54.4,5.224e+06,3.945e+05,1.247e+05,5.743e+06
55.9,5.315e+06,4.562e+05,1.333e+05,5.904e+06
57.4,3.648e+06,3.886e+05,1.084e+05,4.145e+06
58.9,2.381e+06,2.778e+05,8.410e+04,2.742e+06
60.5,1.616e+06,2.095e+05,7.065e+04,1.897e+06
62.0,1.065e+06,1.415e+05,5.281e+04,1.260e+06
63.5,6.228e+05,6.902e+04,2.821e+04,7.200e+05
65.0,3.531e+05,3.223e+04,1.208e+04,3.975e+05
66.5,2.029e+05,1.719e+04,4.921e+03,2.250e+05
68.0,1.327e+05,1.093e+04,3.313e+03,1.470e+05
69.5,1.038e+05,6.890e+03,2.939e+03,1.136e+05
71.0,8.390e+04,3.891e+03,2.791e+03,9.058e+04
72.5,6.542e+04,3.615e+03,3.120e+03,7.216e+04
74.1,5.358e+04,9.482e+03,3.716e+03,6.678e+04
75.6,5.292e+04,1.619e+04,5.113e+03,7.422e+04
77.1,5.798e+04,2.772e+04,6.109e+03,9.182e+04
78.6,6.568e+04,4.384e+04,4.627e+03,1.141e+05
80.1,7.031e+04,5.222e+04,2.844e+03,1.254e+05
81.6,9.734e+04,5.325e+04,2.113e+03,1.527e+05
83.1,1.478e+05,4.246e+04,1.481e+03,1.917e+05
84.6,1.721e+05,2.984e+04,2.232e+03,2.042e+05
86.2,1.646e+05,1.550e+04,3.320e+03,1.834e+05
87.7,1.746e+05,1.214e+04,4.042e+03,1.908e+05
89.2,2.008e+05,9.586e+03,5.086e+03,2.155e+05
90.7,2.432e+05,5.897e+03,5.364e+03,2.545e+05
92.2,2.754e+05,5.682e+03,4.923e+03,2.860e+05
93.7,3.090e+05,5.985e+03,5.516e+03,3.205e+05
95.2,3.531e+05,6.820e+03,6.533e+03,3.665e+05
96.7,3.625e+05,1.036e+04,6.581e+03,3.795e+05
98.2,3.172e+05,1.218e+04,5.375e+03,3.347e+05
99.8,1.806e+05,6.567e+03,2.277e+03,1.895e+05
101.3,2.481e+04,1.966e+03,2.512e+02,2.703e+04
102.8,1.146e+04,1.571e+03,1.059e+02,1.314e+04
104.3,1.112e+04,2.087e+03,1.282e+02,1.334e+04
105.8,1.087e+04,2.582e+03,1.306e+02,1.358e+04
107.3,1.742e+04,3.452e+03,1.751e+02,2.104e+04
108.8,3.633e+04,7.441e+03,3.049e+02,4.407e+04
110.3,4.869e+04,1.089e+04,4.398e+02,6.002e+04
111.8,5.176e+04,1.079e+04,4.343e+02,6.299e+04
113.4,4.358e+04,7.326e+03,3.695e+02,5.128e+04
114.9,2.932e+04,5.866e+03,3.446e+02,3.553e+04
116.4,2.875e+04,7.166e+03,2.822e+02,3.620e+04
117.9,5.099e+04,9.925e+03,2.262e+02,6.114e+04
119.4,7.316e+04,1.098e+04,1.965e+02,8.433e+04
120.9,9.804e+04,1.187e+04,1.529e+02,1.101e+05
122.4,1.249e+05,1.315e+04,1.566e+02,1.382e+05
123.9,1.524e+05,1.443e+04,1.673e+02,1.670e+05
125.4,1.942e+05,1.655e+04,1.653e+02,2.110e+05
127.0,2.450e+05,1.974e+04,1.700e+02,2.649e+05
128.5,2.418e+05,1.996e+04,1.718e+02,2.619e+05
130.0,2.255e+05,2.140e+04,1.438e+02,2.470e+05
131.5,2.187e+05,2.233e+04,1.247e+02,2.411e+05
133.0,2.303e+05,2.293e+04,1.520e+02,2.534e+05
134.5,2.205e+05,2.199e+04,1.781e+02,2.426e+05
136.0,2.258e+05,2.383e+04,1.868e+02,2.498e+05
137.5,2.334e+05,2.825e+04,1.723e+02,2.618e+05
139.0,2.403e+05,3.409e+04,1.568e+02,2.745e+05
140.6,2.471e+05,4.217e+04,1.748e+02,2.894e+05
142.1,2.616e+05,5.131e+04,1.830e+02,3.130e+05
143.6,2.312e+05,5.236e+04,2.035e+02,2.838e+05
145.1,2.360e+05,6.090e+04,2.902e+02,2.972e+05
146.6,2.206e+05,6.454e+04,4.619e+02,2.856e+05
148.1,1.946e+05,6.307e+04,6.385e+02,2.583e+05
149.6,1.691e+05,5.662e+04,7.984e+02,2.265e+05
151.1,1.660e+05,5.215e+04,8.749e+02,2.191e+05
152.7,1.664e+05,4.734e+04,8.798e+02,2.146e+05
154.2,1.733e+05,4.271e+04,8.119e+02,2.168e+05
155.7,1.983e+05,4.204e+04,8.922e+02,2.412e+05
157.2,2.286e+05,4.346e+04,9.227e+02,2.730e+05
158.7,2.795e+05,4.663e+04,9.456e+02,3.271e+05
160.2,2.548e+05,3.640e+04,7.325e+02,2.919e+05
161.7,3.023e+05,3.550e+04,8.123e+02,3.386e+05
163.2,3.650e+05,3.213e+04,1.072e+03,3.982e+05
164.7,3.782e+05,2.420e+04,1.113e+03,4.035e+05
166.3,4.481e+05,2.278e+04,1.297e+03,4.722e+05
167.8,5.072e+05,2.429e+04,1.252e+03,5.327e+05
169.3,5.785e+05,2.651e+04,1.373e+03,6.064e+05
170.8,6.236e+05,2.664e+04,1.409e+03,6.517e+05
172.3,7.888e+05,2.937e+04,1.683e+03,8.199e+05
173.8,7.730e+05,2.703e+04,1.516e+03,8.016e+05
175.3,5.801e+05,2.022e+04,1.106e+03,6.014e+05
176.8,4.500e+05,1.391e+04,9.662e+02,4.649e+05
