freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.283e+01,1.109e+03,1.915e+02,1.324e+03
1.5,3.038e+01,6.339e+02,1.372e+02,8.014e+02
3.0,2.742e+01,4.747e+01,4.406e+01,1.189e+02
4.5,2.813e+01,7.125e+02,4.623e+01,7.868e+02
6.0,4.443e+01,2.834e+03,4.617e+01,2.925e+03
7.6,7.323e+01,4.154e+03,4.727e+01,4.275e+03
9.1,4.000e+01,5.401e+03,4.384e+01,5.484e+03
10.6,3.344e+01,7.619e+03,4.700e+01,7.699e+03
12.1,3.963e+01,1.074e+04,4.537e+01,1.083e+04
13.6,3.885e+01,1.468e+04,4.531e+01,1.476e+04
15.1,3.998e+01,1.908e+04,4.617e+01,1.917e+04
16.6,7.869e+01,2.365e+04,4.607e+01,2.377e+04
18.1,1.061e+02,2.889e+04,4.593e+01,2.904e+04
19.6,7.781e+01,3.458e+04,4.605e+01,3.471e+04
21.2,6.845e+01,4.156e+04,5.084e+01,4.168e+04
22.7,1.139e+02,4.939e+04,5.979e+01,4.956e+04
24.2,1.611e+02,5.976e+04,6.980e+01,5.999e+04
25.7,1.629e+02,7.413e+04,8.298e+01,7.437e+04
27.2,1.840e+02,9.261e+04,9.908e+01,9.289e+04
28.7,2.089e+02,1.151e+05,1.360e+02,1.154e+05
30.2,2.380e+02,1.488e+05,2.289e+02,1.492e+05
31.7,2.870e+02,1.981e+05,4.573e+02,1.989e+05
33.2,3.662e+02,2.740e+05,9.275e+02,2.753e+05
34.8,5.653e+02,3.918e+05,2.069e+03,3.945e+05
36.3,1.124e+03,6.199e+05,6.523e+03,6.276e+05
37.8,3.138e+03,1.076e+06,5.283e+04,1.132e+06
39.3,7.530e+03,1.925e+06,2.563e+05,2.189e+06
40.8,6.329e+03,2.100e+06,4.454e+05,2.552e+06
42.3,3.172e+03,1.377e+06,4.948e+05,1.875e+06
43.8,3.117e+03,9.950e+05,5.093e+05,1.507e+06
45.3,6.261e+03,1.155e+06,5.320e+05,1.694e+06
46.8,1.034e+04,1.670e+06,5.552e+05,2.235e+06
48.4,1.684e+04,2.187e+06,5.211e+05,2.725e+06
49.9,2.299e+04,2.253e+06,4.225e+05,2.698e+06
51.4,2.467e+04,1.856e+06,3.342e+05,2.215e+06
52.9,3.679e+04,1.347e+06,2.790e+05,1.663e+06
54.4,3.987e+04,9.904e+05,2.419e+05,1.272e+06
55.9,3.203e+04,7.898e+05,2.164e+05,1.038e+06
57.4,2.688e+04,6.331e+05,1.855e+05,8.455e+05
