freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.151e+01,3.583e+02,3.140e+03,3.570e+03
1.5,5.086e+01,2.195e+02,1.777e+03,2.047e+03
3.0,1.730e+01,1.715e+01,5.232e+01,8.678e+01
4.5,2.112e+01,1.797e+01,1.326e+03,1.365e+03
6.1,5.272e+01,2.369e+01,5.346e+03,5.422e+03
7.6,8.223e+01,2.609e+01,7.642e+03,7.750e+03
9.1,4.225e+01,3.016e+01,1.019e+04,1.026e+04
10.6,2.327e+01,4.046e+01,1.524e+04,1.530e+04
12.1,2.204e+01,5.141e+01,2.143e+04,2.151e+04
13.6,2.219e+01,6.350e+01,2.866e+04,2.875e+04
15.1,2.297e+01,8.345e+01,3.801e+04,3.811e+04
16.7,2.675e+01,9.463e+01,4.892e+04,4.905e+04
18.2,3.982e+01,1.782e+02,6.423e+04,6.445e+04
19.7,4.675e+01,3.639e+02,8.173e+04,8.214e+04
21.2,3.500e+01,7.211e+02,1.055e+05,1.063e+05
22.7,3.779e+01,9.635e+02,1.399e+05,1.409e+05
24.2,5.900e+01,1.573e+03,1.868e+05,1.884e+05
25.8,1.159e+02,3.349e+03,2.564e+05,2.599e+05
27.3,2.892e+02,7.121e+03,3.595e+05,3.669e+05
28.8,5.690e+02,1.176e+04,4.940e+05,5.064e+05
30.3,9.051e+02,1.776e+04,7.025e+05,7.211e+05
31.8,1.798e+03,3.619e+04,1.149e+06,1.187e+06
33.3,6.734e+03,1.044e+05,2.247e+06,2.358e+06
34.8,5.081e+04,3.271e+05,5.082e+06,5.460e+06
36.4,1.990e+05,7.466e+05,8.991e+06,9.937e+06
37.9,2.631e+05,9.815e+05,9.432e+06,1.068e+07
39.4,2.041e+05,9.661e+05,7.641e+06,8.811e+06
40.9,1.445e+05,8.624e+05,5.932e+06,6.939e+06
42.4,8.866e+04,7.063e+05,4.469e+06,5.264e+06
43.9,5.474e+04,5.443e+05,3.294e+06,3.893e+06
45.4,2.841e+04,3.626e+05,2.241e+06,2.632e+06
47.0,1.816e+04,2.011e+05,1.421e+06,1.640e+06
48.5,1.386e+04,8.966e+04,8.241e+05,9.276e+05
50.0,6.713e+03,4.794e+04,5.010e+05,5.557e+05
51.5,5.825e+03,4.575e+04,3.542e+05,4.058e+05
53.0,1.620e+04,4.642e+04,2.634e+05,3.260e+05
54.5,2.659e+04,5.954e+04,2.185e+05,3.046e+05
56.0,3.192e+04,7.693e+04,1.980e+05,3.068e+05
57.6,2.769e+04,1.053e+05,1.793e+05,3.123e+05
59.1,2.774e+04,1.613e+05,1.645e+05,3.535e+05
60.6,3.333e+04,2.730e+05,1.649e+05,4.712e+05
62.1,3.758e+04,3.722e+05,1.803e+05,5.901e+05
63.6,3.081e+04,3.348e+05,1.741e+05,5.398e+05
65.1,2.574e+04,2.453e+05,1.499e+05,4.210e+05
66.7,2.648e+04,2.009e+05,1.319e+05,3.593e+05
68.2,2.758e+04,1.916e+05,1.194e+05,3.386e+05
69.7,3.115e+04,2.158e+05,1.099e+05,3.569e+05
71.2,5.091e+04,2.586e+05,1.070e+05,4.164e+05
72.7,9.077e+04,2.702e+05,1.134e+05,4.744e+05
74.2,1.113e+05,2.517e+05,1.256e+05,4.886e+05
75.7,9.479e+04,2.192e+05,1.321e+05,4.460e+05
77.3,6.692e+04,1.896e+05,1.340e+05,3.905e+05
78.8,5.855e+04,1.673e+05,1.313e+05,3.572e+05
80.3,7.194e+04,1.394e+05,1.283e+05,3.396e+05
81.8,7.955e+04,1.046e+05,1.241e+05,3.083e+05
83.3,7.899e+04,8.160e+04,1.207e+05,2.813e+05
84.8,8.821e+04,7.190e+04,1.116e+05,2.717e+05
86.3,9.019e+04,6.518e+04,1.004e+05,2.558e+05
87.9,6.445e+04,6.741e+04,1.051e+05,2.370e+05
89.4,6.869e+04,6.393e+04,1.222e+05,2.549e+05
90.9,7.522e+04,4.704e+04,1.219e+05,2.441e+05
92.4,6.599e+04,3.587e+04,1.176e+05,2.195e+05
93.9,7.074e+04,3.615e+04,1.158e+05,2.227e+05
95.4,4.624e+04,3.762e+04,1.225e+05,2.064e+05
96.9,1.899e+04,3.967e+04,1.356e+05,1.942e+05
98.5,2.371e+04,4.901e+04,1.542e+05,2.269e+05
100.0,4.247e+04,6.544e+04,1.759e+05,2.838e+05
101.5,4.634e+04,7.576e+04,1.880e+05,3.101e+05
103.0,4.392e+04,5.883e+04,1.706e+05,2.734e+05
104.5,4.943e+04,3.724e+04,1.413e+05,2.280e+05
106.0,5.672e+04,2.634e+04,1.234e+05,2.064e+05
107.6,5.577e+04,2.405e+04,1.056e+05,1.854e+05
109.1,4.947e+04,2.424e+04,8.803e+04,1.617e+05
110.6,4.641e+04,2.137e+04,7.160e+04,1.394e+05
112.1,4.917e+04,1.839e+04,5.970e+04,1.273e+05
113.6,6.586e+04,1.728e+04,5.555e+04,1.387e+05
115.1,1.049e+05,1.849e+04,5.758e+04,1.810e+05
116.6,1.534e+05,2.240e+04,5.871e+04,2.345e+05
118.2,1.797e+05,2.765e+04,5.859e+04,2.660e+05
119.7,2.024e+05,3.194e+04,5.722e+04,2.915e+05
121.2,2.115e+05,3.313e+04,4.987e+04,2.945e+05
122.7,2.128e+05,3.230e+04,4.058e+04,2.856e+05
124.2,2.077e+05,3.055e+04,3.584e+04,2.741e+05
125.7,1.926e+05,3.301e+04,4.015e+04,2.657e+05
127.2,1.825e+05,3.820e+04,5.155e+04,2.722e+05
128.8,1.695e+05,4.295e+04,6.478e+04,2.772e+05
130.3,1.349e+05,4.276e+04,7.477e+04,2.524e+05
131.8,1.070e+05,5.071e+04,9.668e+04,2.544e+05
133.3,1.018e+05,6.198e+04,1.119e+05,2.757e+05
134.8,1.079e+05,7.430e+04,1.304e+05,3.126e+05
136.3,1.168e+05,8.945e+04,1.525e+05,3.587e+05
137.8,1.045e+05,8.351e+04,1.448e+05,3.328e+05
139.4,9.200e+04,7.306e+04,1.234e+05,2.885e+05
140.9,8.557e+04,5.695e+04,9.841e+04,2.409e+05
142.4,7.402e+04,3.450e+04,6.747e+04,1.760e+05
143.9,5.179e+04,2.148e+04,4.107e+04,1.143e+05
145.4,2.884e+04,1.079e+04,1.975e+04,5.937e+04
146.9,2.644e+04,4.435e+03,1.107e+04,4.195e+04
148.4,3.254e+04,3.019e+03,1.296e+04,4.851e+04
150.0,4.051e+04,2.973e+03,2.003e+04,6.351e+04
151.5,4.698e+04,3.873e+03,2.431e+04,7.516e+04
153.0,5.164e+04,6.437e+03,2.681e+04,8.488e+04
154.5,5.252e+04,1.079e+04,3.087e+04,9.419e+04
156.0,4.885e+04,1.379e+04,3.346e+04,9.610e+04
157.5,4.676e+04,1.202e+04,3.411e+04,9.290e+04
159.1,4.667e+04,9.910e+03,3.357e+04,9.015e+04
160.6,4.433e+04,8.255e+03,3.202e+04,8.460e+04
162.1,4.068e+04,7.816e+03,3.747e+04,8.596e+04
163.6,3.283e+04,1.265e+04,3.901e+04,8.449e+04
165.1,2.694e+04,1.904e+04,3.547e+04,8.146e+04
166.6,2.414e+04,2.042e+04,3.597e+04,8.053e+04
168.1,2.013e+04,1.870e+04,3.302e+04,7.186e+04
169.7,1.614e+04,1.601e+04,2.815e+04,6.030e+04
171.2,1.329e+04,1.357e+04,2.470e+04,5.156e+04
172.7,1.163e+04,1.092e+04,2.382e+04,4.637e+04
174.2,1.023e+04,8.553e+03,2.750e+04,4.628e+04
175.7,9.647e+03,1.167e+04,3.015e+04,5.146e+04
177.2,8.242e+03,1.642e+04,3.582e+04,6.049e+04
178.7,8.992e+03,1.768e+04,4.586e+04,7.254e+04
180.3,9.648e+03,1.451e+04,4.577e+04,6.992e+04
181.8,8.912e+03,1.416e+04,4.325e+04,6.633e+04
183.3,7.819e+03,1.799e+04,4.257e+04,6.837e+04
184.8,7.729e+03,2.261e+04,4.103e+04,7.137e+04
186.3,7.517e+03,2.790e+04,3.828e+04,7.370e+04
187.8,8.467e+03,2.909e+04,3.532e+04,7.288e+04
189.3,6.894e+03,2.812e+04,3.429e+04,6.930e+04
190.9,5.258e+03,2.809e+04,3.622e+04,6.957e+04
192.4,4.711e+03,2.851e+04,4.079e+04,7.402e+04
193.9,5.306e+03,3.529e+04,5.063e+04,9.123e+04
195.4,6.846e+03,4.092e+04,6.072e+04,1.085e+05
196.9,7.536e+03,4.360e+04,6.547e+04,1.166e+05
198.4,8.297e+03,4.845e+04,7.313e+04,1.299e+05
200.0,9.586e+03,5.381e+04,7.907e+04,1.425e+05
