freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.604e+02,8.131e+01,3.213e+01,1.074e+03
1.5,5.912e+02,6.327e+01,4.933e+01,7.038e+02
3.0,7.369e+01,2.775e+01,4.237e+01,1.438e+02
4.5,6.597e+02,2.850e+01,4.164e+01,7.298e+02
6.0,2.595e+03,2.972e+01,3.986e+01,2.665e+03
7.6,4.090e+03,3.171e+01,3.990e+01,4.162e+03
9.1,5.725e+03,3.144e+01,4.346e+01,5.800e+03
10.6,7.773e+03,3.156e+01,4.566e+01,7.850e+03
12.1,1.024e+04,3.216e+01,4.203e+01,1.031e+04
13.6,1.311e+04,3.769e+01,3.650e+01,1.319e+04
15.1,1.667e+04,4.234e+01,3.786e+01,1.675e+04
16.6,2.063e+04,4.439e+01,3.750e+01,2.071e+04
18.1,2.461e+04,4.942e+01,4.399e+01,2.470e+04
19.6,2.955e+04,6.352e+01,4.765e+01,2.966e+04
21.2,3.491e+04,6.434e+01,4.504e+01,3.502e+04
22.7,4.055e+04,6.172e+01,4.202e+01,4.065e+04
24.2,4.716e+04,6.124e+01,4.579e+01,4.727e+04
25.7,5.416e+04,7.814e+01,4.595e+01,5.428e+04
27.2,6.306e+04,9.385e+01,4.284e+01,6.320e+04
28.7,7.443e+04,9.597e+01,4.657e+01,7.458e+04
30.2,8.767e+04,1.070e+02,4.716e+01,8.783e+04
31.7,1.020e+05,1.337e+02,4.571e+01,1.022e+05
33.2,1.183e+05,1.742e+02,4.582e+01,1.185e+05
34.8,1.400e+05,1.796e+02,4.872e+01,1.402e+05
36.3,1.627e+05,1.532e+02,5.248e+01,1.629e+05
37.8,1.896e+05,1.302e+02,7.130e+01,1.898e+05
39.3,2.275e+05,1.112e+02,1.012e+02,2.277e+05
40.8,2.750e+05,1.210e+02,1.931e+02,2.753e+05
42.3,3.389e+05,2.213e+02,3.314e+02,3.394e+05
43.8,4.130e+05,4.464e+02,5.402e+02,4.140e+05
45.3,5.304e+05,9.437e+02,1.050e+03,5.324e+05
46.8,6.907e+05,2.078e+03,2.456e+03,6.953e+05
48.4,9.164e+05,5.695e+03,6.593e+03,9.287e+05
49.9,1.320e+06,2.246e+04,2.194e+04,1.364e+06
51.4,1.971e+06,8.146e+04,6.642e+04,2.119e+06
52.9,2.852e+06,2.018e+05,1.287e+05,3.182e+06
54.4,4.289e+06,3.359e+05,1.739e+05,4.799e+06
55.9,5.452e+06,4.139e+05,1.711e+05,6.037e+06
57.4,4.678e+06,4.165e+05,1.501e+05,5.245e+06
58.9,3.072e+06,3.453e+05,1.286e+05,3.546e+06
60.4,2.051e+06,2.706e+05,1.132e+05,2.435e+06
62.0,1.331e+06,1.856e+05,8.463e+04,1.601e+06
63.5,7.899e+05,1.151e+05,5.552e+04,9.605e+05
65.0,4.429e+05,6.394e+04,3.017e+04,5.370e+05
66.5,2.706e+05,3.560e+04,1.512e+04,3.214e+05
68.0,1.808e+05,2.408e+04,1.142e+04,2.163e+05
69.5,1.362e+05,1.796e+04,1.148e+04,1.656e+05
71.0,1.018e+05,1.192e+04,1.067e+04,1.244e+05
72.5,7.640e+04,5.970e+03,1.182e+04,9.419e+04
74.0,6.651e+04,1.687e+03,1.324e+04,8.144e+04
75.6,5.357e+04,3.020e+03,1.228e+04,6.886e+04
77.1,4.665e+04,1.226e+04,1.208e+04,7.099e+04
78.6,4.957e+04,2.321e+04,8.982e+03,8.176e+04
80.1,5.344e+04,2.571e+04,5.886e+03,8.504e+04
81.6,7.184e+04,2.933e+04,3.801e+03,1.050e+05
83.1,1.207e+05,4.209e+04,2.016e+03,1.648e+05
84.6,1.600e+05,7.404e+04,2.682e+03,2.367e+05
86.1,1.827e+05,1.006e+05,5.410e+03,2.887e+05
87.6,1.902e+05,9.515e+04,5.952e+03,2.913e+05
89.2,1.978e+05,8.739e+04,6.249e+03,2.915e+05
90.7,2.261e+05,7.620e+04,8.005e+03,3.103e+05
92.2,2.525e+05,6.120e+04,9.511e+03,3.232e+05
93.7,2.673e+05,4.152e+04,9.028e+03,3.178e+05
95.2,2.965e+05,2.753e+04,9.434e+03,3.335e+05
96.7,3.073e+05,1.406e+04,9.081e+03,3.304e+05
98.2,3.222e+05,8.459e+03,7.560e+03,3.382e+05
99.7,1.850e+05,3.361e+03,3.617e+03,1.920e+05
101.2,2.223e+04,1.153e+03,3.586e+02,2.374e+04
102.7,1.158e+04,9.938e+02,1.211e+02,1.270e+04
104.3,1.695e+04,1.815e+03,1.658e+02,1.893e+04
105.8,2.492e+04,4.518e+03,2.233e+02,2.966e+04
107.3,4.267e+04,1.035e+04,3.511e+02,5.337e+04
108.8,6.182e+04,1.934e+04,4.698e+02,8.164e+04
110.3,7.617e+04,2.127e+04,5.069e+02,9.795e+04
111.8,9.592e+04,1.658e+04,5.762e+02,1.131e+05
113.3,1.021e+05,1.393e+04,6.730e+02,1.167e+05
114.8,1.005e+05,1.219e+04,7.035e+02,1.134e+05
116.3,8.309e+04,1.188e+04,7.311e+02,9.570e+04
117.9,4.963e+04,1.224e+04,5.758e+02,6.245e+04
119.4,3.125e+04,1.155e+04,3.864e+02,4.318e+04
120.9,4.763e+04,1.139e+04,2.753e+02,5.929e+04
122.4,8.077e+04,1.040e+04,2.119e+02,9.138e+04
123.9,1.207e+05,1.087e+04,2.246e+02,1.318e+05
125.4,1.596e+05,1.124e+04,2.532e+02,1.711e+05
126.9,2.062e+05,1.061e+04,2.740e+02,2.171e+05
128.4,2.339e+05,9.765e+03,2.489e+02,2.439e+05
129.9,2.674e+05,1.830e+04,1.793e+02,2.859e+05
131.5,2.818e+05,2.320e+04,1.324e+02,3.051e+05
133.0,2.907e+05,2.506e+04,8.991e+01,3.158e+05
134.5,2.931e+05,2.531e+04,8.052e+01,3.185e+05
136.0,3.022e+05,2.688e+04,8.689e+01,3.291e+05
137.5,3.080e+05,3.095e+04,1.122e+02,3.391e+05
139.0,3.261e+05,3.601e+04,1.308e+02,3.622e+05
140.5,3.165e+05,3.817e+04,1.273e+02,3.548e+05
142.0,2.656e+05,3.962e+04,1.107e+02,3.053e+05
143.5,2.547e+05,4.646e+04,1.396e+02,3.013e+05
145.1,2.300e+05,5.167e+04,1.983e+02,2.818e+05
146.6,2.043e+05,5.191e+04,2.889e+02,2.565e+05
148.1,2.250e+05,5.846e+04,4.825e+02,2.839e+05
149.6,2.220e+05,6.131e+04,7.296e+02,2.841e+05
151.1,2.000e+05,5.640e+04,8.729e+02,2.573e+05
152.6,1.959e+05,5.497e+04,1.000e+03,2.519e+05
154.1,2.130e+05,5.653e+04,1.114e+03,2.707e+05
155.6,2.140e+05,4.879e+04,9.220e+02,2.637e+05
157.1,2.309e+05,4.577e+04,6.836e+02,2.774e+05
158.7,2.791e+05,5.425e+04,6.069e+02,3.340e+05
160.2,3.040e+05,5.954e+04,5.654e+02,3.641e+05
161.7,3.444e+05,6.738e+04,7.009e+02,4.125e+05
163.2,3.804e+05,6.003e+04,7.991e+02,4.412e+05
164.7,4.604e+05,5.477e+04,8.538e+02,5.160e+05
166.2,4.849e+05,4.691e+04,7.844e+02,5.326e+05
167.7,6.112e+05,4.949e+04,8.521e+02,6.615e+05
169.2,6.882e+05,4.494e+04,9.300e+02,7.341e+05
170.7,7.467e+05,3.831e+04,1.055e+03,7.861e+05
172.3,9.066e+05,4.195e+04,1.419e+03,9.500e+05
173.8,9.865e+05,4.411e+04,1.637e+03,1.032e+06
175.3,8.147e+05,3.387e+04,1.381e+03,8.499e+05
176.8,6.868e+05,2.467e+04,1.119e+03,7.126e+05
178.3,6.345e+05,2.130e+04,1.111e+03,6.569e+05
179.8,5.334e+05,1.589e+04,1.065e+03,5.503e+05
181.3,4.647e+05,1.074e+04,1.073e+03,4.765e+05
182.8,4.006e+05,7.392e+03,1.027e+03,4.090e+05
184.3,3.246e+05,5.068e+03,9.961e+02,3.307e+05
185.9,2.943e+05,4.166e+03,1.063e+03,2.996e+05
187.4,2.383e+05,2.923e+03,1.121e+03,2.423e+05
188.9,2.186e+05,2.436e+03,1.181e+03,2.222e+05
190.4,2.212e+05,2.538e+03,1.265e+03,2.250e+05
191.9,1.928e+05,3.021e+03,1.362e+03,1.972e+05
