freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.411e+03,4.857e+01,4.228e+01,2.502e+03
1.5,1.380e+03,1.017e+02,4.917e+01,1.531e+03
3.0,8.608e+01,8.854e+01,3.342e+01,2.080e+02
4.5,1.241e+03,9.120e+01,3.073e+01,1.363e+03
6.1,4.820e+03,9.540e+01,4.074e+01,4.956e+03
7.6,7.632e+03,8.995e+01,5.006e+01,7.772e+03
9.1,1.085e+04,9.338e+01,3.933e+01,1.099e+04
10.6,1.459e+04,9.581e+01,3.969e+01,1.473e+04
12.1,1.941e+04,1.019e+02,3.888e+01,1.955e+04
13.6,2.550e+04,1.041e+02,4.493e+01,2.565e+04
15.2,3.306e+04,1.047e+02,4.768e+01,3.321e+04
16.7,4.195e+04,1.067e+02,5.290e+01,4.211e+04
18.2,5.233e+04,1.062e+02,5.586e+01,5.249e+04
19.7,6.380e+04,1.060e+02,4.969e+01,6.396e+04
21.2,7.748e+04,1.224e+02,4.256e+01,7.764e+04
22.7,9.348e+04,1.430e+02,5.050e+01,9.368e+04
24.3,1.093e+05,1.525e+02,7.792e+01,1.095e+05
25.8,1.279e+05,1.722e+02,1.163e+02,1.282e+05
27.3,1.516e+05,2.034e+02,1.434e+02,1.519e+05
28.8,1.801e+05,1.961e+02,1.266e+02,1.805e+05
30.3,2.134e+05,1.932e+02,1.136e+02,2.137e+05
31.8,2.546e+05,3.097e+02,2.217e+02,2.551e+05
33.3,3.070e+05,6.442e+02,4.644e+02,3.082e+05
34.9,3.747e+05,1.215e+03,8.322e+02,3.767e+05
36.4,4.579e+05,2.127e+03,1.388e+03,4.614e+05
37.9,5.642e+05,3.461e+03,2.222e+03,5.699e+05
39.4,7.089e+05,6.017e+03,3.983e+03,7.189e+05
40.9,8.989e+05,1.109e+04,8.211e+03,9.182e+05
42.4,1.104e+06,1.825e+04,1.639e+04,1.139e+06
44.0,1.317e+06,2.227e+04,2.673e+04,1.366e+06
45.5,1.615e+06,1.924e+04,3.283e+04,1.667e+06
47.0,2.156e+06,1.104e+04,3.514e+04,2.202e+06
48.5,3.092e+06,4.311e+03,3.910e+04,3.136e+06
50.0,4.786e+06,2.253e+03,4.264e+04,4.831e+06
51.5,7.765e+06,6.142e+03,5.012e+04,7.822e+06
53.0,1.094e+07,1.951e+04,5.647e+04,1.102e+07
54.6,1.133e+07,2.737e+04,4.503e+04,1.141e+07
56.1,9.515e+06,2.222e+04,2.895e+04,9.566e+06
57.6,7.516e+06,2.201e+04,2.258e+04,7.561e+06
59.1,5.823e+06,3.126e+04,1.642e+04,5.871e+06
60.6,4.344e+06,4.323e+04,1.103e+04,4.398e+06
62.1,3.168e+06,4.835e+04,7.007e+03,3.223e+06
63.7,2.229e+06,4.765e+04,3.938e+03,2.281e+06
65.2,1.551e+06,4.408e+04,1.906e+03,1.597e+06
66.7,1.083e+06,3.993e+04,8.456e+02,1.123e+06
68.2,7.590e+05,3.485e+04,5.646e+02,7.944e+05
69.7,5.327e+05,3.350e+04,8.054e+02,5.670e+05
71.2,4.062e+05,3.885e+04,1.189e+03,4.463e+05
72.8,3.627e+05,4.308e+04,1.852e+03,4.076e+05
74.3,3.244e+05,2.923e+04,2.665e+03,3.563e+05
75.8,3.085e+05,2.393e+04,5.263e+03,3.377e+05
77.3,3.164e+05,1.937e+04,8.448e+03,3.442e+05
78.8,2.757e+05,1.230e+04,1.126e+04,2.992e+05
80.3,2.193e+05,1.180e+04,2.065e+04,2.518e+05
81.8,2.406e+05,1.737e+04,3.373e+04,2.917e+05
83.4,2.553e+05,1.676e+04,3.716e+04,3.092e+05
84.9,2.588e+05,1.620e+04,4.085e+04,3.159e+05
86.4,3.994e+05,2.062e+04,4.803e+04,4.680e+05
87.9,5.683e+05,1.851e+04,5.628e+04,6.431e+05
89.4,5.285e+05,1.436e+04,6.700e+04,6.098e+05
90.9,4.647e+05,1.378e+04,6.917e+04,5.476e+05
92.5,4.432e+05,2.241e+04,5.426e+04,5.198e+05
94.0,4.257e+05,3.222e+04,4.712e+04,5.051e+05
95.5,3.752e+05,4.629e+04,4.150e+04,4.630e+05
97.0,2.816e+05,5.343e+04,3.861e+04,3.737e+05
98.5,1.903e+05,5.280e+04,3.674e+04,2.799e+05
100.0,1.509e+05,5.769e+04,3.134e+04,2.399e+05
101.5,1.351e+05,6.838e+04,3.504e+04,2.385e+05
103.1,1.156e+05,6.366e+04,5.219e+04,2.314e+05
104.6,8.488e+04,6.447e+04,5.766e+04,2.070e+05
106.1,5.881e+04,7.008e+04,5.834e+04,1.872e+05
107.6,4.643e+04,7.474e+04,5.605e+04,1.772e+05
109.1,5.094e+04,7.582e+04,5.043e+04,1.772e+05
110.6,5.595e+04,7.394e+04,4.701e+04,1.769e+05
112.2,6.542e+04,7.156e+04,4.493e+04,1.819e+05
113.7,8.225e+04,7.205e+04,4.489e+04,1.992e+05
115.2,1.019e+05,7.147e+04,4.795e+04,2.213e+05
116.7,1.058e+05,7.016e+04,4.983e+04,2.258e+05
118.2,9.897e+04,6.882e+04,5.990e+04,2.277e+05
119.7,1.110e+05,6.247e+04,8.073e+04,2.542e+05
121.3,1.457e+05,5.660e+04,1.058e+05,3.081e+05
122.8,1.991e+05,5.127e+04,1.307e+05,3.811e+05
124.3,2.435e+05,4.518e+04,1.590e+05,4.477e+05
125.8,3.394e+05,4.839e+04,1.873e+05,5.751e+05
127.3,4.600e+05,5.901e+04,2.025e+05,7.215e+05
128.8,4.989e+05,6.514e+04,1.888e+05,7.528e+05
130.3,5.800e+05,8.215e+04,1.845e+05,8.467e+05
131.9,5.905e+05,9.781e+04,1.623e+05,8.506e+05
133.4,2.818e+05,5.514e+04,7.314e+04,4.101e+05
134.9,3.047e+04,1.241e+04,1.140e+04,5.428e+04
136.4,1.729e+04,9.294e+03,8.554e+03,3.514e+04
137.9,1.727e+04,8.244e+03,9.307e+03,3.482e+04
139.4,1.462e+04,7.891e+03,1.042e+04,3.293e+04
141.0,1.194e+04,8.191e+03,1.130e+04,3.143e+04
142.5,1.072e+04,9.509e+03,1.113e+04,3.137e+04
144.0,1.270e+04,1.085e+04,9.911e+03,3.346e+04
145.5,1.466e+04,1.141e+04,8.783e+03,3.485e+04
147.0,1.359e+04,1.086e+04,9.459e+03,3.391e+04
148.5,1.403e+04,1.381e+04,1.028e+04,3.812e+04
150.0,1.528e+04,1.986e+04,1.081e+04,4.595e+04
151.6,1.806e+04,2.766e+04,1.159e+04,5.731e+04
153.1,2.577e+04,3.848e+04,1.207e+04,7.633e+04
154.6,3.461e+04,5.173e+04,7.915e+03,9.425e+04
156.1,3.427e+04,6.410e+04,3.513e+03,1.019e+05
157.6,3.447e+04,7.452e+04,7.068e+03,1.161e+05
159.1,3.406e+04,8.057e+04,1.589e+04,1.305e+05
160.7,2.919e+04,8.116e+04,2.257e+04,1.329e+05
162.2,2.213e+04,7.891e+04,2.355e+04,1.246e+05
163.7,1.650e+04,7.396e+04,2.292e+04,1.134e+05
165.2,1.752e+04,7.150e+04,1.884e+04,1.079e+05
166.7,1.783e+04,6.290e+04,1.880e+04,9.953e+04
168.2,1.263e+04,6.082e+04,2.467e+04,9.813e+04
169.8,9.289e+03,7.747e+04,2.730e+04,1.141e+05
171.3,1.031e+04,8.527e+04,2.760e+04,1.232e+05
172.8,1.170e+04,8.096e+04,2.623e+04,1.189e+05
174.3,1.256e+04,7.912e+04,3.110e+04,1.228e+05
175.8,1.519e+04,7.287e+04,3.645e+04,1.245e+05
177.3,2.259e+04,6.693e+04,4.014e+04,1.297e+05
178.8,3.175e+04,6.679e+04,4.408e+04,1.426e+05
180.4,3.146e+04,7.313e+04,4.377e+04,1.484e+05
181.9,2.603e+04,7.794e+04,4.522e+04,1.492e+05
183.4,2.390e+04,7.999e+04,4.615e+04,1.500e+05
184.9,2.434e+04,8.279e+04,4.539e+04,1.525e+05
186.4,2.614e+04,8.272e+04,4.194e+04,1.508e+05
