freq,psd_x,psd_y,psd_z,psd_xyz
181.3,2.639e+05,6.731e+03,7.548e+02,2.713e+05
182.8,2.385e+05,8.223e+03,7.957e+02,2.475e+05
184.4,1.944e+05,6.485e+03,8.268e+02,2.017e+05
185.9,1.654e+05,5.149e+03,8.780e+02,1.714e+05
187.4,1.515e+05,5.195e+03,1.043e+03,1.577e+05
188.9,1.432e+05,5.479e+03,1.126e+03,1.498e+05
190.4,1.428e+05,5.889e+03,1.183e+03,1.498e+05
191.9,1.444e+05,7.050e+03,1.346e+03,1.528e+05
193.4,1.407e+05,8.163e+03,1.441e+03,1.504e+05
194.9,1.349e+05,9.453e+03,1.615e+03,1.459e+05
196.5,1.335e+05,1.113e+04,1.976e+03,1.466e+05
198.0,1.418e+05,1.117e+04,1.809e+03,1.547e+05
199.5,1.549e+05,1.207e+04,1.392e+03,1.683e+05
